mortality_score_norm,community_score_norm,egress_score_norm,population_score_norm,utility_score_norm,priority_normalized,priority_class,priority_rank
0.9313723642460523,0.0,10.0,1.9560519475309832,8.0,5.0441831581996075,Medium,22
1.795634358813381,0.0,10.0,1.53001978252755,10.0,5.707849210705431,Medium,15
2.7792266431246855,0.0,3.0520088566901995,0.14498631699420822,6.0,2.5952895692508977,Low,54
0.18013406884004338,0.0,0.0,4.9694624261794615,0.0,0.7541618808706251,Very Low,69
0.0,0.0,10.0,5.8725268721713855,2.1354243788414813,4.53705276511968,Medium,31
0.23582999730561663,0.0,10.0,2.9631212180247997,6.0,4.6244861924007585,Medium,29
1.6742213574147602,0.0,0.0,4.949358720772036,0.0,1.3233162596934775,Very Low,63
0.5666252820777453,0.0,0.0,5.97640891218873,6.0,2.5994983841594705,Low,53
0.25861509992880105,0.0,4.501123729849173,5.976408912188727,6.0,3.8675339708849465,Low,34
6.356590316327953,0.0,0.0,2.949153158030234,2.38115935666527,3.0603873325964197,Low,46
3.9854026970996905,0.0,0.0,5.976408912188729,6.0,3.9160115391324157,Low,33
1.8299745827090192,0.0,0.0,5.961638095994266,7.0,3.312492180367552,Low,43
6.4550986681111215,0.0,0.0,2.9071097672882833,0.0,2.535202638504122,Low,56
6.4550986681111215,0.0,0.0,5.976408912188729,6.0,4.8670495389547455,Medium,26
6.4550986681111215,0.0,0.0,5.976408912188729,6.0,4.8670495389547455,Medium,26
6.4550986681111215,0.0,0.0,1.07681435754839,0.0,1.9713500814300142,Very Low,60
6.45509866811112,0.0,0.0,2.2478951310125153,0.0,2.3321207445394787,Low,58
6.4550986681111215,0.0,0.0,2.249459944103359,6.0,3.7189017074315913,Low,38
6.455098668111122,0.0,1.4534135108347983,0.9770502404493209,6.0,3.7746629025785126,Low,37
6.4550986681111215,0.0,10.0,2.040211027145295,6.0,6.735103356887632,High,9
6.4550986681111215,0.0,10.0,1.9798512348890531,6.0,6.716508531687814,High,10
6.4550986681111215,0.0,10.0,0.3425869956459472,10.0,7.136321660885521,High,8
6.4550986681111215,0.0,10.0,0.563100214493045,10.0,7.204254379098066,High,7
6.4550986681111215,0.0,7.1564552942564905,0.3999394732272986,6.0,5.353790127336403,Medium,17
6.243632949040842,0.0,0.0,5.976408912188729,6.0,4.785617679788199,Medium,27
2.7168420303225673,6.666666666666666,0.0,5.976408912188729,6.0,5.481286500872313,Medium,16
2.7794880955402563,2.5244869730745756,10.0,6.20355862412985,6.0,7.379985375464791,High,4
2.868758644647408,3.531799484572789,10.0,9.453007345926501,6.0,8.725727148826463,Very High,2
2.8687586446474085,6.559930080484103,0.0,4.163043080714305,6.0,4.948267929915328,Medium,25
2.8687586446474085,0.0,0.0,0.0,6.0,1.6448799608453581,Very Low,62
6.220806015752718,3.333333333333333,0.0,2.2510105376806666,6.0,4.656045341014605,Medium,28
2.923170013160129,1.614728596865315,0.0,1.5158857490528763,6.0,2.6302700138108586,Low,51
2.8687586446474085,0.0,0.0,1.357476139013682,6.0,2.0630727771944555,Low,59
2.8687586446474085,10.0,10.0,7.121164325021667,6.0,10.0,Very High,1
2.868758644647408,7.777777777777778,0.0,9.871806457292054,7.0,7.313174032302888,High,5
2.8687586446474085,1.2181410716660377,0.0,9.79695643494987,6.0,5.038261631626389,Medium,23
6.4550986681111215,2.7304946659775715,10.0,0.9571368400384077,6.0,7.242618288436027,High,6
4.613668201879334,1.6019927950522275,0.0,0.2630130358129272,6.0,2.891360686954481,Low,48
2.8687586446474085,0.0,0.0,0.0,0.4827001616967934,0.3701088479076682,Very Low,73
2.868758644647409,2.5204464577895402,10.0,6.644186366923874,6.0,7.548859813549413,High,3
2.8687586446474085,4.444444444444445,0.4009369307943528,9.989671198426,6.0,6.215061519230219,High,13
2.8687586446474085,1.349106484816894,0.0,10.0,6.0,5.141158582272788,Medium,19
6.45509866811112,0.0,10.0,0.1459856542346774,6.0,6.151556124836116,High,14
6.154637558560463,0.0,10.0,0.0,0.0,4.60458147672505,Medium,30
4.198616645897253,0.0,10.0,0.0,0.0,3.8513510231692516,Low,35
2.8399250815958283,0.0,10.0,5.153924771960292,6.0,6.302192020525187,High,12
2.79080335191966,0.0,0.0,5.876022507833106,6.0,3.425065927110906,Low,40
2.868758644647408,0.0,0.0,3.2802637331273203,1.7756686736657663,1.6793880944798696,Very Low,61
2.8687586446474085,0.0,0.0,0.08062876486133817,0.0,0.2834200793791099,Very Low,75
1.3435560212216755,0.0,10.0,1.0750188341272036,6.0,4.46939173783101,Medium,32
0.055535184650113326,0.0,10.0,4.65455632663083,6.0,5.076132081247278,Medium,21
0.7879701688665224,0.0,0.0,5.976408912188727,6.0,2.684734543133438,Low,50
2.8687586446474085,0.0,0.0,0.0795001188925288,2.156585638106289,0.7813510965150905,Very Low,67
2.488164772953388,5.555555555555555,0.0,1.0222804718217562,6.0,3.5247301265834063,Low,39
0.05399257779961684,2.756304027498983,10.0,2.7631474829443947,6.0,5.34198321373819,Medium,18
0.7169546305691814,2.001113858033481,5.449398200077347,5.976408912188729,6.0,4.952640252404149,Medium,24
2.8687586446474085,0.0,0.0,0.04112965120176999,0.9301974678789083,0.48617368266174416,Very Low,70
2.8687586446474085,1.9035385058906185,0.0,0.547851164425686,6.0,2.4000708041580956,Low,57
1.1278899434111647,1.5000479407884626,10.0,0.8102830450541818,0.0,3.3806016892362223,Low,42
0.779384104038845,1.8273476474350203,10.0,6.685121631116607,6.0,6.543367451442154,High,11
2.8687586446474085,0.0,0.0,0.0,0.0,0.25858106432238026,Very Low,78
2.868758644647409,0.0,0.0,0.0,0.0,0.2585810643223804,Very Low,77
2.197264327011169,0.0,0.0,0.0,0.0,0.0,Very Low,79
1.9358200502365017,0.6251718141818362,0.0,7.564933716349933,6.0,3.808717645165026,Low,36
3.096888456100074,0.0,0.0,0.0,2.520054900000199,0.9286882037972093,Very Low,65
2.8687586446474085,0.0,0.0,4.74184351293497,6.0,3.105682722949001,Low,45
2.8687586446474085,0.0,0.0,4.924494450169407,6.0,3.16195134355722,Low,44
2.8687586446474085,0.0,0.0,1.6256438590717144,0.0,0.759387350538041,Very Low,68
2.8687586446474085,0.0,0.0,0.1180229628993765,0.6604111876406751,0.4475278595979471,Very Low,71
2.8687586446474085,0.0,0.0,3.1854425062907694,6.0,2.6262078344916433,Low,52
4.166707119677266,0.0,0.0,2.7522935779816518,6.0,2.9925871216031825,Low,47
4.761478574357646,0.0,0.0,0.5283450901188083,6.0,2.5364996614887962,Low,55
10.0,0.0,0.0,2.2693127463234446,6.0,5.090099023800718,Medium,20
9.170532335193442,0.0,0.0,0.4367748240582691,2.565446575291987,3.41258876779123,Low,41
8.124679745538373,0.0,0.0,0.22232538601244617,2.3219554300952168,2.887525431690541,Low,49
4.626731774616846,0.0,0.0,0.0,0.0,0.9355466782650681,Very Low,64
3.020316173418116,0.0,0.0,0.0,0.0,0.31694329623754175,Very Low,74
3.263868116715074,0.0,0.0,0.0,0.0,0.4107310157482639,Very Low,72
2.8687586446474085,0.0,0.0,0.011007743621076082,0.0,0.26197218050795923,Very Low,76
2.8687586446474085,0.0,0.0,0.2591584198905144,2.3219554300952168,0.8749064464126605,Very Low,66
